Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
AED/AUD,0.43884,0.32692,0.00143,0.43757,0.44042,AED,AUD,1736428328
AED/BHD,0.10263,0.07467011,0.000076577652,0.10245,0.10271,AED,BHD,1736428163
AED/CAD,0.39251,0.09420261,0.00036940753,0.39062,0.39283,AED,CAD,1736428328
AED/CHF,0.24776,0.09696186,0.00024,0.2472,0.24845,AED,CHF,1736428328
AED/DKK,1.97102,97.10224,0.97102,1.96826,1.97294,AED,DKK,1736428163
AED/EUR,0.26389,0.11002,0.00029,0.26352,0.26467,AED,EUR,1736428328
AED/GBP,0.22143,0.54694,0.00120454,0.21968,0.22219,AED,GBP,1736428328
AED/ILS,0.99603,-0.39697,-0.00396966,0.99597,1.00811,AED,ILS,1736428581
AED/INR,23.318,-0.10282,-0.024,23.313,23.42469,AED,INR,1736428328
AED/JOD,0.19311,-3.44481,-0.00688963,0.19295,0.19345,AED,JOD,1736428163
AED/JPY,42.917,-0.33209,-0.143,42.9,43.098,AED,JPY,1736428328
AED/KWD,0.08394093,-0.22236,-0.000187069055,0.08385905,0.08407522,AED,KWD,1736428163
AED/NOK,3.11158,0.1338,0.00415767,3.0979,3.12032,AED,NOK,1736428328
AED/NZD,0.48612,0.25367,0.00123,0.48494,0.48794,AED,NZD,1736428328
AED/OMR,0.10481,0.49917,0.000520588049,0.10428,0.10493,AED,OMR,1736428163
AED/PKR,75.857,0.05275862,0.04,75.813,75.867,AED,PKR,1736418730
AED/QAR,0.9921,0.60858,0.00600123,0.986,0.99396,AED,QAR,1736428163
AED/SAR,1.02161,0.53235,0.00540979,1.016,1.02239,AED,SAR,1736428163
AED/SEK,3.04099,0.03649191,0.00110931,3.0262,3.04822,AED,SEK,1736428328
AED/SGD,0.37206,0.05647438,0.00021,0.37166,0.37399,AED,SGD,1736428328
AED/USD,0.27228,0,0,0.27224,0.27232,AED,USD,1736428593
AED/ZAR,5.13801,0.01380565,0.000709237643,5.12443,5.17047,AED,ZAR,1736428595
AFN/EUR,0.01365188,0.21706,0.000029569242,0.01362825,0.01384083,AFN,EUR,1736425143
AFN/GBP,0.01144541,0.68985,0.00007841478,0.01128916,0.01144541,AFN,GBP,1736425143
AFN/USD,0.01408308,0.06984884,0.00000983,0.01407325,0.01408308,AFN,USD,1736392964
ALL/EUR,0.01030184,0,0,0.01030184,0.01030184,ALL,EUR,1736361210
ALL/GBP,0.00853268,0.16514,0.000014067556,0.00831567,0.00853268,ALL,GBP,1736425144
ALL/USD,0.01048705,-0.415,-0.000043702435,0.01022034,0.01061571,ALL,USD,1736425144
AMD/EUR,0.00244918,-0.01714426,-0.000000419966,0.00242836,0.00261917,AMD,EUR,1736428538
AMD/GBP,0.00205444,0.52594,0.000010748551,0.00189723,0.00205503,AMD,GBP,1736428538
AMD/USD,0.00252302,-0.09588413,-0.0000024215,0.00252302,0.00252544,AMD,USD,1736428538
ARS/AUD,0.0015562,0.18164,0.000002821531,0.00155579,0.0015642,ARS,AUD,1736428559
ARS/BRL,0.00589661,4.36482,0.000246612337,0.00565,0.00594918,ARS,BRL,1736428559
ARS/CAD,0.00138771,-0.03393705,-0.000000471106,0.0013874,0.00139079,ARS,CAD,1736428559
ARS/CHF,0.00087917162,-0.07042603,-0.000000619602,0.000878695166,0.000881514865,ARS,CHF,1736428559
ARS/CLP,0.96354,1.38045,0.01312009,0.95042,0.96354,ARS,CLP,1736425143
ARS/COP,4.17535,-100,,4.17498,4.19422,ARS,COP,1736425194
ARS/EUR,0.00089,0,0,0.00089,0.00089,ARS,EUR,1736428328
ARS/GBP,0.000784090629,0.3964,0.000003095856,0.000776,0.000788515094,ARS,GBP,1736428559
ARS/HKD,0.0075057,-0.07603827,-0.000005711547,0.00750499,0.0075136,ARS,HKD,1736428559
ARS/JPY,0.15216,1.44156,0.00216234,0.15,0.15283,ARS,JPY,1736428559
ARS/MXN,0.01973174,-0.01143746,-0.000002257067,0.01969899,0.01979052,ARS,MXN,1736428559
ARS/PEN,0.00364443,-0.14252,-0.00000520138,0.00363782,0.00365102,ARS,PEN,1736425194
ARS/SGD,0.00132,-0.06244357,-0.000000824771,0.00131986,0.00132429,ARS,SGD,1736428559
ARS/USD,0.00096458074,-0.11767,-0.00000113636,0.000964464344,0.0009657171,ARS,USD,1736428559
ARS/XAG,0.000031729472,-0.95645,-0.000000306408,0.000031715746,0.00003210243,ARS,XAG,1736428581
ARS/XAU,0.000000360916,-0.47176,-0.000000001711,0.000000360602,0.000000363839,ARS,XAU,1736428581
ARS/ZAR,0.01820358,-0.42271,-0.000077275726,0.01818784,0.01833695,ARS,ZAR,1736428586
AUD/AED,2.2711,-0.30727,-0.007,2.2635,2.2777,AUD,AED,1736428328
AUD/ARS,642.59181,-0.18131,-1.16719,639.29796,642.7598,AUD,ARS,1736428559
AUD/BGN,1.17635,17.63513,0.17635,1.1728,1.17802,AUD,BGN,1736428595
AUD/BRL,3.78949,-0.2757,-0.01047637,3.76732,3.81754,AUD,BRL,1736428466
AUD/CAD,0.89172,-0.17911,-0.0016,0.88843,0.89333,AUD,CAD,1736428596
AUD/CHF,0.56499,-0.16963,-0.00096,0.56285,0.5675,AUD,CHF,1736428596
AUD/CLP,619.93058,-0.39676,-2.46942,617.92691,621.03107,AUD,CLP,1736428595
AUD/CNH,4.5599,-0.13589,-0.006205,4.5386,4.5658,AUD,CNH,1736428595
AUD/CNY,4.54507,-2.73547,-0.12783,4.52541,4.65116,AUD,CNY,1736428594
