Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
AED/AUD,0.4387,0.29492,0.00129,0.43757,0.44042,AED,AUD,1736431629
AED/BHD,0.10263,0.07134958,0.000073172295,0.10245,0.10271,AED,BHD,1736430946
AED/CAD,0.39259,0.11385,0.000446455051,0.39062,0.39283,AED,CAD,1736431629
AED/CHF,0.24759,0.02828054,0.00007,0.2472,0.24845,AED,CHF,1736431629
AED/DKK,1.97028,97.02755,0.97028,1.96799,1.97294,AED,DKK,1736430946
AED/EUR,0.26378,0.06828528,0.00018,0.26352,0.26467,AED,EUR,1736431629
AED/GBP,0.22138,0.52246,0.00115061,0.21968,0.22219,AED,GBP,1736431629
AED/ILS,0.99518,-0.48193,-0.00481931,0.99405,1.00811,AED,ILS,1736431823
AED/INR,23.316,-0.11139,-0.026,23.313,23.42469,AED,INR,1736431629
AED/JOD,0.19311,-3.44645,-0.00689291,0.19295,0.19345,AED,JOD,1736430946
AED/JPY,42.924,-0.31584,-0.136,42.881,43.098,AED,JPY,1736431629
AED/KWD,0.08398257,-0.17287,-0.000145430345,0.08385905,0.08407522,AED,KWD,1736430946
AED/NOK,3.1111,0.11822,0.00367365,3.0979,3.12032,AED,NOK,1736431629
AED/NZD,0.48593,0.21448,0.00104,0.48494,0.48794,AED,NZD,1736431629
AED/OMR,0.10487,0.55861,0.000582573617,0.10428,0.10494,AED,OMR,1736430946
AED/PKR,75.857,0.05275862,0.04,75.813,75.867,AED,PKR,1736418730
AED/QAR,0.99181,0.57936,0.00571302,0.986,0.99396,AED,QAR,1736430946
AED/SAR,1.02208,0.57852,0.00587888,1.016,1.02239,AED,SAR,1736430946
AED/SEK,3.04025,0.01216101,0.000369680563,3.0262,3.04822,AED,SEK,1736431629
AED/SGD,0.37181,-0.01075703,-0.00004,0.37166,0.37399,AED,SGD,1736431629
AED/USD,0.27229,0.00271413,0.00000739,0.27224,0.27232,AED,USD,1736431824
AED/ZAR,5.13261,-0.09131174,-0.00469096,5.12443,5.17047,AED,ZAR,1736431842
AFN/EUR,0.01365188,0.21706,0.000029569242,0.01362825,0.01384083,AFN,EUR,1736425143
AFN/GBP,0.01144541,0.68985,0.00007841478,0.01128916,0.01144541,AFN,GBP,1736425143
AFN/USD,0.01408308,0.06984884,0.00000983,0.01407325,0.01408308,AFN,USD,1736392964
ALL/EUR,0.01028066,-0.20561,-0.000021181955,0.01028066,0.01030184,ALL,EUR,1736431351
ALL/GBP,0.00853898,0.23909,0.000020367276,0.00831567,0.00853898,ALL,GBP,1736431629
ALL/USD,0.01050641,-0.23114,-0.000024341,0.01022034,0.01061571,ALL,USD,1736431629
AMD/EUR,0.00244684,-0.11255,-0.000002757141,0.00242836,0.00261917,AMD,EUR,1736431629
AMD/GBP,0.00205057,0.33629,0.0000068728,0.00189723,0.00205503,AMD,GBP,1736431629
AMD/USD,0.00252302,-0.09588413,-0.0000024215,0.00252302,0.00252544,AMD,USD,1736431298
ARS/AUD,0.00155539,0.12978,0.000002016048,0.00155471,0.0015642,ARS,AUD,1736431807
ARS/BRL,0.00589793,4.38811,0.000247928316,0.00564,0.00594918,ARS,BRL,1736431827
ARS/CAD,0.0013881,-0.00542455,-0.000000075302,0.0013874,0.00139079,ARS,CAD,1736431807
ARS/CHF,0.000878655159,-0.12913,-0.000001136063,0.000878483458,0.000881514865,ARS,CHF,1736431807
ARS/CLP,0.96354,1.38045,0.01312009,0.95042,0.96354,ARS,CLP,1736425143
ARS/COP,4.17535,-100,,4.17498,4.19422,ARS,COP,1736425194
ARS/EUR,0.00089,0,0,0.00089,0.00089,ARS,EUR,1736431629
ARS/GBP,0.000784175808,0.40731,0.000003181034,0.000776,0.000788515094,ARS,GBP,1736431807
ARS/HKD,0.00750588,-0.07369338,-0.000005535412,0.00750499,0.0075136,ARS,HKD,1736431807
ARS/JPY,0.15213,1.42118,0.00213177,0.15,0.15283,ARS,JPY,1736431807
ARS/MXN,0.01972992,-0.02066023,-0.00000407709,0.01969899,0.01979052,ARS,MXN,1736431807
ARS/PEN,0.00364443,-0.14252,-0.00000520138,0.00363782,0.00365102,ARS,PEN,1736425194
ARS/SGD,0.00131889,-0.14664,-0.00000193684,0.0013188,0.00132429,ARS,SGD,1736431807
ARS/USD,0.000964557382,-0.12009,-0.000001159718,0.000964431695,0.0009657171,ARS,USD,1736431807
ARS/XAG,0.000031781132,-0.7952,-0.000000254748,0.000031650658,0.00003210243,ARS,XAG,1736431823
ARS/XAU,0.000000360874,-0.48348,-0.000000001753,0.000000360154,0.000000363839,ARS,XAU,1736431823
ARS/ZAR,0.01818318,-0.5343,-0.000097675316,0.01818144,0.01833695,ARS,ZAR,1736431828
AUD/AED,2.2719,-0.27216,-0.0062,2.2635,2.27781,AUD,AED,1736431629
AUD/ARS,642.92458,-0.12962,-0.83442,639.29796,643.20598,AUD,ARS,1736431807
AUD/BGN,1.17632,17.63209,0.17632,1.1728,1.17802,AUD,BGN,1736431842
AUD/BRL,3.79102,-0.23562,-0.00895338,3.76732,3.81754,AUD,BRL,1736431827
AUD/CAD,0.8923,-0.11418,-0.00102,0.88843,0.89333,AUD,CAD,1736431842
AUD/CHF,0.56481,-0.20143,-0.00114,0.56285,0.5675,AUD,CHF,1736431843
AUD/CLP,620.38342,-0.324,-2.01658,617.92691,621.03107,AUD,CLP,1736431842
AUD/CNH,4.55973,-0.13962,-0.006375,4.5386,4.5658,AUD,CNH,1736431840
AUD/CNY,4.54618,-2.71166,-0.12671,4.52541,4.65116,AUD,CNY,1736431842
AUD/CZK,15.093,-0.1548,-0.0234,15.058,15.1251,AUD,CZK,1736431837
AUD/DKK,4.486,-0.12468,-0.0056,4.4749,4.49519,AUD,DKK,1736431843
AUD/EUR,0.60128,-0.14365,-0.000865,0.5999,0.6022,AUD,EUR,1736431842
