Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
AED/AUD,0.43843,0.23319,0.00102,0.43757,0.44042,AED,AUD,1736430129
AED/BHD,0.10262,0.0647143,0.000066367515,0.10245,0.10271,AED,BHD,1736429489
AED/CAD,0.39251,0.09420261,0.00036940753,0.39062,0.39283,AED,CAD,1736430129
AED/CHF,0.24748,-0.01616031,-0.00004,0.2472,0.24845,AED,CHF,1736430129
AED/DKK,1.96928,96.92845,0.96928,1.96799,1.97294,AED,DKK,1736429489
AED/EUR,0.26372,0.04552352,0.00012,0.26352,0.26467,AED,EUR,1736430129
AED/GBP,0.22113,0.40687,0.000896057016,0.21968,0.22219,AED,GBP,1736430129
AED/ILS,0.99438,-0.56209,-0.0056209,0.99405,1.00811,AED,ILS,1736430232
AED/INR,23.314,-0.11996,-0.028,23.313,23.42469,AED,INR,1736430129
AED/JOD,0.19313,-3.43653,-0.00687307,0.19295,0.19345,AED,JOD,1736429489
AED/JPY,42.881,-0.4157,-0.179,42.881,43.098,AED,JPY,1736430129
AED/KWD,0.08386782,-0.30927,-0.000260182543,0.08385905,0.08407522,AED,KWD,1736429489
AED/NOK,3.111,0.11511,0.00357686,3.0979,3.12032,AED,NOK,1736430129
AED/NZD,0.48564,0.15467,0.00075,0.48494,0.48794,AED,NZD,1736430129
AED/OMR,0.1048,0.49262,0.000513758545,0.10428,0.10493,AED,OMR,1736429489
AED/PKR,75.857,0.05275862,0.04,75.813,75.867,AED,PKR,1736418730
AED/QAR,0.99124,0.52095,0.0051371,0.986,0.99396,AED,QAR,1736429489
AED/SAR,1.02172,0.54349,0.00552294,1.016,1.02239,AED,SAR,1736429489
AED/SEK,3.03961,-0.00911882,-0.000277201429,3.0262,3.04822,AED,SEK,1736430129
AED/SGD,0.37179,-0.01613554,-0.00006,0.37166,0.37399,AED,SGD,1736430129
AED/USD,0.27229,0.00271413,0.00000739,0.27224,0.27232,AED,USD,1736430234
AED/ZAR,5.13844,0.02210685,0.0011357,5.12443,5.17047,AED,ZAR,1736430237
AFN/EUR,0.01365188,0.21706,0.000029569242,0.01362825,0.01384083,AFN,EUR,1736425143
AFN/GBP,0.01144541,0.68985,0.00007841478,0.01128916,0.01144541,AFN,GBP,1736425143
AFN/USD,0.01408308,0.06984884,0.00000983,0.01407325,0.01408308,AFN,USD,1736392964
ALL/EUR,0.01030184,0,0,0.01030184,0.01030184,ALL,EUR,1736361210
ALL/GBP,0.00853268,0.16514,0.000014067556,0.00831567,0.00853268,ALL,GBP,1736425144
ALL/USD,0.01048705,-0.415,-0.000043702435,0.01022034,0.01061571,ALL,USD,1736425144
AMD/EUR,0.00244624,-0.13699,-0.000003355698,0.00242836,0.00261917,AMD,EUR,1736430129
AMD/GBP,0.00204826,0.22326,0.000004562752,0.00189723,0.00205503,AMD,GBP,1736430129
AMD/USD,0.00252302,-0.09588413,-0.0000024215,0.00252302,0.00252544,AMD,USD,1736429439
ARS/AUD,0.00155471,0.0859793,0.000001335582,0.00155471,0.0015642,ARS,AUD,1736430183
ARS/BRL,0.00588195,4.10531,0.000231950142,0.00564,0.00594918,ARS,BRL,1736430208
ARS/CAD,0.00138761,-0.04095065,-0.000000568467,0.0013874,0.00139079,ARS,CAD,1736430183
ARS/CHF,0.000878501607,-0.14658,-0.000001289615,0.000878483458,0.000881514865,ARS,CHF,1736430183
ARS/CLP,0.96354,1.38045,0.01312009,0.95042,0.96354,ARS,CLP,1736425143
ARS/COP,4.17535,-100,,4.17498,4.19422,ARS,COP,1736425194
ARS/EUR,0.00089,0,0,0.00089,0.00089,ARS,EUR,1736430129
ARS/GBP,0.000783099712,0.26952,0.000002104939,0.000776,0.000788515094,ARS,GBP,1736430183
ARS/HKD,0.00750569,-0.07620825,-0.000005724314,0.00750499,0.0075136,ARS,HKD,1736430183
ARS/JPY,0.15202,1.34435,0.00201653,0.15,0.15283,ARS,JPY,1736430183
ARS/MXN,0.0197383,0.02183037,0.000004308004,0.01969899,0.01979052,ARS,MXN,1736430183
ARS/PEN,0.00364443,-0.14252,-0.00000520138,0.00363782,0.00365102,ARS,PEN,1736425194
ARS/SGD,0.00131881,-0.15277,-0.000002017809,0.00131881,0.00132429,ARS,SGD,1736430183
ARS/USD,0.000964505913,-0.12542,-0.000001211187,0.000964431695,0.0009657171,ARS,USD,1736430183
ARS/XAG,0.00003168501,-1.09524,-0.00000035087,0.000031650658,0.00003210243,ARS,XAG,1736430202
ARS/XAU,0.000000360182,-0.67422,-0.000000002445,0.000000360154,0.000000363839,ARS,XAU,1736430202
ARS/ZAR,0.018204,-0.42041,-0.000076855246,0.01818784,0.01833695,ARS,ZAR,1736430226
AUD/AED,2.2733,-0.2107,-0.0048,2.2635,2.27781,AUD,AED,1736430129
AUD/ARS,643.20598,-0.08590544,-0.55302,639.29796,643.20598,AUD,ARS,1736430183
AUD/BGN,1.17617,17.61667,0.17617,1.1728,1.17802,AUD,BGN,1736430237
AUD/BRL,3.78304,-0.4456,-0.01693248,3.76732,3.81754,AUD,BRL,1736430208
AUD/CAD,0.89258,-0.08339677,-0.000745,0.88843,0.89333,AUD,CAD,1736430237
AUD/CHF,0.56502,-0.16433,-0.00093,0.56285,0.5675,AUD,CHF,1736430237
AUD/CLP,620.3138,-0.33519,-2.0862,617.92691,621.03107,AUD,CLP,1736430237
AUD/CNH,4.56197,-0.09055868,-0.004135,4.5386,4.5658,AUD,CNH,1736430237
AUD/CNY,4.54845,-2.66307,-0.12444,4.52541,4.65116,AUD,CNY,1736430218
AUD/CZK,15.103,-0.08864544,-0.0134,15.058,15.1251,AUD,CZK,1736430237
AUD/DKK,4.48735,-0.09462107,-0.00425,4.4749,4.49519,AUD,DKK,1736430237
AUD/EUR,0.60143,-0.11708,-0.000705,0.5999,0.6022,AUD,EUR,1736430237
AUD/FJD,1.44389,-0.75684,-0.01101126,1.43344,1.4524,AUD,FJD,1736429489
AUD/GBP,0.50373,0.17529,0.000881419553,0.5012,0.5054,AUD,GBP,1736430237
AUD/HKD,4.82758,-0.15759,-0.00762,4.7809,4.8352,AUD,HKD,1736430237
AUD/HUF,248.86,0.14084,0.35,248.15,249.37,AUD,HUF,1736430237
AUD/IDR,10045.83427,-0.21421,-21.56573,10004.9,10090.4,AUD,IDR,1736430233
AUD/ILS,2.26572,-0.6396,-0.01458479,2.24975,2.279,AUD,ILS,1736430232
AUD/INR,53.24817,-0.30673,-0.16383,52.99326,53.366,AUD,INR,1736430218
AUD/JPY,97.761,-0.60899,-0.599,97.64,98.47366,AUD,JPY,1736430237
AUD/KRW,904.9099,-0.24804,-2.2501,902.15128,906.83,AUD,KRW,1736430224
AUD/LTL,1.81971,81.97087,0.81971,1.81026,1.82006,AUD,LTL,1736430237
AUD/MAD,6.24417,0.03484019,0.00217472,6.1997,6.24538,AUD,MAD,1736430237
AUD/MXN,12.6903,-0.01654533,-0.0021,12.6271,12.70055,AUD,MXN,1736430237
AUD/MYR,2.7864,-0.43949,-0.0123,2.78344,2.8037,AUD,MYR,1736418730
AUD/NOK,7.07742,-0.12104,-0.00857704,7.0519,7.0925,AUD,NOK,1736430237
AUD/NZD,1.10752,-0.02978743,-0.00033,1.1059,1.10977,AUD,NZD,1736430237
AUD/PGK,2.48589,-0.89333,-0.02240729,2.43774,2.48589,AUD,PGK,1736425145
AUD/PHP,36.25739,-0.32332,-0.11761,36.01309,36.44315,AUD,PHP,1736430237
