Symbol,Rate,Change %,Change,Day Low,Day High,Base Currency,Quote Currency,Timestamp
AED/AUD,0.43875,0.30635,0.00134,0.43757,0.44042,AED,AUD,1736428628
AED/BHD,0.10263,0.07467011,0.000076577652,0.10245,0.10271,AED,BHD,1736428163
AED/CAD,0.39124,0.10234,0.0004,0.39062,0.39283,AED,CAD,1736428628
AED/CHF,0.2477,0.0727214,0.00018,0.2472,0.24845,AED,CHF,1736428628
AED/DKK,1.97102,97.10224,0.97102,1.96826,1.97294,AED,DKK,1736428163
AED/EUR,0.26421,0.10833,0.000285893869,0.26352,0.26467,AED,EUR,1736428628
AED/GBP,0.2208,0.51441,0.00113,0.21968,0.22219,AED,GBP,1736428628
AED/ILS,0.99504,-0.49635,-0.00496346,0.99504,1.00811,AED,ILS,1736428791
AED/INR,23.3951,-0.10294,-0.02410736,23.313,23.42469,AED,INR,1736428628
AED/JOD,0.19311,-3.44481,-0.00688963,0.19295,0.19345,AED,JOD,1736428163
AED/JPY,42.938,-0.28333,-0.122,42.9,43.098,AED,JPY,1736428628
AED/KWD,0.08394093,-0.22236,-0.000187069055,0.08385905,0.08407522,AED,KWD,1736428163
AED/NOK,3.1006,0.09361785,0.0029,3.0979,3.12032,AED,NOK,1736428628
AED/NZD,0.48597,0.22273,0.00108,0.48494,0.48794,AED,NZD,1736428628
AED/OMR,0.10481,0.49917,0.000520588049,0.10428,0.10493,AED,OMR,1736428163
AED/PKR,75.857,0.05275862,0.04,75.813,75.867,AED,PKR,1736418730
AED/QAR,0.9921,0.60858,0.00600123,0.986,0.99396,AED,QAR,1736428163
AED/SAR,1.02161,0.53235,0.00540979,1.016,1.02239,AED,SAR,1736428163
AED/SEK,3.0317,0.04620005,0.0014,3.0262,3.04822,AED,SEK,1736428628
AED/SGD,0.37327,0.05972378,0.000222800036,0.37166,0.37399,AED,SGD,1736428628
AED/USD,0.27229,0.00271413,0.00000739,0.27224,0.27232,AED,USD,1736428794
AED/ZAR,5.14148,0.08145493,0.00418458,5.12443,5.17047,AED,ZAR,1736428811
AFN/EUR,0.01365188,0.21706,0.000029569242,0.01362825,0.01384083,AFN,EUR,1736425143
AFN/GBP,0.01144541,0.68985,0.00007841478,0.01128916,0.01144541,AFN,GBP,1736425143
AFN/USD,0.01408308,0.06984884,0.00000983,0.01407325,0.01408308,AFN,USD,1736392964
ALL/EUR,0.01030184,0,0,0.01030184,0.01030184,ALL,EUR,1736361210
ALL/GBP,0.00853268,0.16514,0.000014067556,0.00831567,0.00853268,ALL,GBP,1736425144
ALL/USD,0.01048705,-0.415,-0.000043702435,0.01022034,0.01061571,ALL,USD,1736425144
AMD/EUR,0.00244762,-0.08077149,-0.000001978578,0.00242836,0.00261917,AMD,EUR,1736428628
AMD/GBP,0.00205044,0.33012,0.000006746663,0.00189723,0.00205503,AMD,GBP,1736428628
